8/1/1999,224195,99238,205611,144128,133231,398112
9/1/1999,218713,99545,220873,146455,135975,396874
10/1/1999,215822,97142,191884,142368,131481,387984
11/1/1999,218537,100000,188348,146715,134438,426530
12/1/1999,225264,100735,197781,136326,132652,434091
1/1/2000,226870,105000,200055,147298,132317,420213
2/1/2000,227155,91875,194814,152577,129354,458999
3/1/2000,233138,95945,190354,146922,135284,482786
4/1/2000,237057,101143,197372,144394,138234,538732
5/1/2000,240467,103780,184576,158249,142407,549157
6/1/2000,243102,105625,218166,154360,145424,576823
7/1/2000,242097,98584,224681,155636,149116,489024
8/1/2000,254686,111133,233351,162584,149339,523196
9/1/2000,246533,108169,245860,163774,149967,479729
10/1/2000,251217,118643,216145,162780,149878,513095
11/1/2000,250662,104531,213119,170758,152972,558219
12/1/2000,248354,106202,221340,162607,149827,551948
