France,1940,F,15,64,3.74,3.37,0.36,0.01,14200
France,1945,F,15,64,3.91,3.43,0.46,0.02,14114
France,1950,F,15,64,4.06,3.52,0.53,0.02,14167
France,1955,F,15,64,4.21,3.59,0.6,0.02,14146
France,1960,F,15,64,4.22,3.63,0.56,0.04,14262
France,1965,F,15,64,4.59,3.72,0.79,0.08,15196
France,1970,F,15,64,5.19,3.87,1.19,0.14,15759
France,1975,F,15,64,5.82,4.02,1.6,0.21,16394
France,1980,F,15,64,6.2,4.08,1.89,0.24,17083
France,1985,F,15,64,7.19,4.21,2.68,0.29,18211
France,1990,F,15,64,8.15,4.36,3.42,0.37,18685
France,1995,F,15,64,9.21,4.62,4.12,0.48,18990
France,2000,F,15,64,10.1,4.79,4.74,0.57,19304
France,2005,F,15,64,10.78,4.89,5.26,0.63,19748
France,2010,F,15,64,11.29,4.92,5.61,0.77,20067
Germany,1870,F,15,64,2.16,2.04,0.11,0,12764
Germany,1875,F,15,64,2.39,2.25,0.13,0,12600
Germany,1880,F,15,64,2.62,2.46,0.16,0,13877
Germany,1885,F,15,64,2.85,2.67,0.18,0,13835
Germany,1890,F,15,64,3.09,2.89,0.2,0,15151
Germany,1895,F,15,64,3.33,3.1,0.23,0,15457
Germany,1900,F,15,64,3.52,3.27,0.26,0,17321
Germany,1905,F,15,64,3.69,3.4,0.28,0,18066
Germany,1910,F,15,64,3.83,3.52,0.31,0,20052
Germany,1915,F,15,64,4.48,4.13,0.34,0.01,21511
Germany,1920,F,15,64,5.09,4.7,0.38,0.01,20761
Germany,1925,F,15,64,5.53,5.09,0.42,0.02,22305
Germany,1930,F,15,64,5.53,5.18,0.33,0.02,23226
Germany,1935,F,15,64,5.94,5.54,0.37,0.03,23300
Germany,1940,F,15,64,6.23,5.79,0.4,0.03,24565
Germany,1945,F,15,64,6.54,6.07,0.43,0.03,24931
Germany,1950,F,15,64,7.04,6.47,0.52,0.05,25410
Germany,1955,F,15,64,7.28,6.68,0.54,0.05,26149
Germany,1960,F,15,64,7.39,6.75,0.59,0.06,26376
Germany,1965,F,15,64,7.39,6.59,0.74,0.06,25921
Germany,1970,F,15,64,7.04,6.2,0.78,0.06,25808
Germany,1975,F,15,64,7.04,5.73,1.21,0.11,25782
Germany,1980,F,15,64,7.28,5.41,1.71,0.15,26126
Germany,1985,F,15,64,7.62,5.15,2.28,0.19,27087
Germany,1990,F,15,64,8.74,4.89,3.54,0.3,27027
Germany,1995,F,15,64,9.61,4.66,4.54,0.41,27355
Germany,2000,F,15,64,10.14,4.44,5.21,0.49,27575
Germany,2005,F,15,64,11.79,4.19,7.06,0.54,27301
Germany,2010,F,15,64,12.43,3.92,7.86,0.66,27070
Greece,1870,F,15,64,0.12,0.12,0,0,400
Greece,1875,F,15,64,0.15,0.15,0,0,435
Greece,1880,F,15,64,0.19,0.18,0,0,469
Greece,1885,F,15,64,0.22,0.22,0,0,582
Greece,1890,F,15,64,0.26,0.26,0,0,610
Greece,1895,F,15,64,0.3,0.29,0,0,676
Greece,1900,F,15,64,0.55,0.51,0.04,0,714
Greece,1905,F,15,64,0.67,0.62,0.05,0,747
Greece,1910,F,15,64,0.88,0.8,0.08,0,766
Greece,1915,F,15,64,1.15,1.05,0.1,0,1448
Greece,1920,F,15,64,1.38,1.25,0.12,0,1553
Greece,1925,F,15,64,1.73,1.56,0.16,0.01,1881
Greece,1930,F,15,64,2.07,1.86,0.2,0.01,1966
Greece,1935,F,15,64,2.48,2.2,0.27,0.01,2135
Greece,1940,F,15,64,2.83,2.49,0.33,0.01,2255
Greece,1945,F,15,64,3.37,2.94,0.41,0.02,2382
Greece,1950,F,15,64,3.5,2.95,0.53,0.02,2536
Greece,1955,F,15,64,4.97,3.66,1.27,0.03,2717
Greece,1960,F,15,64,6.84,4.44,2.36,0.04,2799
Greece,1965,F,15,64,6.03,4.32,1.65,0.06,2907
Greece,1970,F,15,64,6.14,4.42,1.61,0.1,2883
