1092-1,TECHNIC Control II,1986,Technic,467
1097-1,Res-Q Runner,1999,Town,18
1098-1,Hang Glider,1998,Town,19
1103-2,DNA Student Set,2008,Educational,521
1127-1,Santa,1999,Seasonal,39
1128-1,Santa on Skis,1997,Seasonal,21
1129-2,Santa on Reindeer,1999,Seasonal,34
1149-1,Air Police,2002,Town,24
1168-1,Battery Box,1986,Technic,31
1177-1,Santa In Truck with Polar Bear,2000,Seasonal,26
1177-1,Santa In Truck with Polar Bear,2000,Seasonal,26
1180-1,Space Port Moon Buggy,1999,Town,25
1181-1,Space Port Spacecraft,1999,Town,23
1188-1,Fire Formula,1999,Town,38
1189-1,Rocket Boat,1999,Town,30
1190-1,Retro Buggy,1999,Town,90
11910-1,Micro-Scale Space Cruiser,2015,Space,102
1191-1,Try Bird,1999,Town,34
11912-1,LEGO Star Wars: Build Your Own Adventure,2016,Star Wars,73
1195-1,Alien Encounter,2001,Space,42
1237-1,Honda Promotional Set,2001,Model,55
1246-1,Helicopter,1999,Town,26
1247-1,Patrol Car,1999,Town,32
1248-1,Fire Boat,1999,Town,24
1249-1,Tri-motorbike,1999,City,17
1250-1,Dragster,1999,Town,24
1251-1,Go-Cart,1999,Town,25
1252-1,Shell Tanker,1999,Town,106
1253-1,Shell Car Transporter,1999,Town,101
1254-1,Shell Select Shop,1999,Town,164
1255-1,Shell Car Wash,1999,Town,136
1256-1,Shell Petrol Pump,1999,Town,156
1257-1,Trike Buggy,1999,Model,30
1258-1,Propellor Buggy,1999,Model,29
1259-1,Motorbike,1999,Model,28
1260-1,Car,1999,Model,26
1263-1,Easter Bunny,2000,Seasonal,29
1264-1,Easter Chicks,2000,Seasonal,29
1265-1,Moon Buggy,1999,Town,25
1266-1,Space Probe,1999,Town,23
1268-1,Bike Blaster,1999,Model,28
1272-1,Blue Racer,2000,Town,23
1273-1,Red Four Wheel Driver,2000,Town,20
1282-1,Blue Racer,2000,Town,23
1283-1,Red Four Wheel Driver,2000,Town,20
1284-1,Green Buggy,2000,Town,23
1285-1,Yellow Tiger,2001,Town,23
1290-1,Kabaya Promotional Set: Red (Volcano Climber) RoboRider,2000,Technic,35
1291-1,Power Bike,2000,Technic,32
1292-1,Kabaya Promotional Set: White (Ice Explorer) RoboRider,2000,Technic,33
1293-1,Kabaya Promotional Set: Yellow/Green (Swamp Craft) RoboRider,2000,Technic,32
1294-1,Fire Helicopter,2000,Town,31
1295-1,Water Rider,2000,Town,30
1296-1,Land Scooper,2000,Town,30
1297-1,Speed Patroller,2000,Town,34
1298-1,Advent Calendar 1998 Classic Basic,1998,Seasonal,24
1314-1,Stop bush / Small pulley,1987,Technic,210
1315-1,Piston Rod,1987,Technic,50
1316-1,Connector peg,1987,Technic,150
1317-1,TECHNIC Chainlinks,1987,Technic,350
1318-1,Gears Small,1987,Technic,68
1319-1,Gears Large,1987,Technic,32
1320-1,Differential and Bevel Gears,1987,Technic,32
1321-1,Worm Gear and Racks,1987,Technic,32
1323-1,Hubs and Tyres,1985,Educational,24
1324-1,Rubber Bands and String,1985,Technic,101
1325-1,Assorted Spare Axles,1987,Technic,68
1325-1,Assorted Spare Axles,1987,Technic,68
1327-1,Red/Black Plates,1985,Educational,48
1328-1,Red/Black Plates,1985,Educational,32
1329-1,Red/Black Plates,1985,Educational,28
1330-1,Red/Black Plates,1985,Educational,20
1331-1,Red/Blue Bricks,1985,Educational,88
1332-1,Red/Blue Beams,1985,Educational,18
1333-1,Red/Blue Beams,1985,Educational,20
1334-1,Motors (4.5V),1985,Educational,9
1335-1,Battery Boxes (4.5v),1985,Educational,9
1336-1,Pole Reverser Switches for Battery Box,1985,Technic,31
1337-1,Connecting Leads,1985,Technic,31
1338-1,Angles Swivels Turntables,1985,Educational,72
1339-1,TECHNIC parts,1987,Technic,32
1340-1,Weight Bricks,1987,Technic,32
1341-1,Building Plates Green,1985,Educational,11
1342-1,Electric Switches and Tiles,1986,Educational,13
1343-1,Optosensors (4.5V) and Discs,1986,Educational,12
1344-1,Light Bricks (4.5V),1986,Educational,13
1344-1,Light Bricks (4.5V),1986,Educational,13
1346-1,Touch Sensors,1987,Technic,31
1347-1,Leads (4.5V) Spirals,1987,Educational,42
1348-1,Base Plates Grey,1987,Educational,12
1388-1,Huki [McDonald's Promo Set #1],2001,Bionicle,9
1389-1,Onepu [McDonald's Promo Set #2],2001,Bionicle,9
1390-1,Maku [McDonald's Promo Set #3],2001,Bionicle,9
1391-1,Jala [McDonald's Promo Set #4],2001,Bionicle,9
